target_id,task_id
30,52
31,37
32,52
33,52
34,54
35,52
36,52
37,52
38,52
39,40
40,37
41,52
42,35
43,52
44,37
45,38
46,43
47,52
48,40
49,40
50,37
51,42
52,47
53,45
54,48
55,52
56,52
1,35
1,5
2,3
3,2
4,5
5,12
6,7
7,5
8,3
9,3
10,3
11,10
12,5
13,2
14,20
15,3
16,3
17,8
18,8
19,3
20,5
21,5
22,3
23,8
24,3
25,3
26,3
27,3
28,12
