target_id,task_id,ddv_cos,ddv_euc
1,2,0.037893474,0.01794998017499827
1,3,0.03794235,0.017959930027267923
1,4,0.03793335,0.017957156150987807
1,5,0.037906587,0.017961012297187495
1,6,0.037919402,0.017962673467312285
1,7,0.037897646,0.017957561728867866
1,8,0.03795719,0.017961309668485637
1,9,0.037872553,0.017937582570933808
1,10,0.037935436,0.017962388809449004
1,11,0.037911117,0.017943216323495603
1,12,0.037930667,0.017953406032339636
1,2,0.03791362,0.01794968307666811
1,3,0.037916303,0.017948577868464932
1,4,0.037907243,0.017947278799484212
1,5,0.03791386,0.01795294744659426
1,6,0.037913144,0.017948115916405216
1,7,0.03790623,0.01794774965615431
1,8,0.037909627,0.017949361349103632
1,9,0.037911832,0.01794600559563042
1,10,0.037920773,0.01795239819766814
1,11,0.037907302,0.017947243922175282
1,12,0.037905276,0.017948733041268095
2,1,0.037909806,0.017945245625159756
2,3,0.037900686,0.017948020646982754
2,4,0.0379135,0.017949086842036333
2,5,0.037922025,0.017948303383071518
2,6,0.03791243,0.017947221573764494
2,7,0.037910283,0.017946762948960138
2,8,0.037908196,0.01794999275444309
2,9,0.037907243,0.01794841287446003
2,10,0.037908733,0.0179465786897689
2,11,0.037913084,0.017950305597097094
2,12,0.037903488,0.017946338922951943
3,1,0.037909687,0.017947665864131768
3,2,0.037918627,0.017950773581094204
3,4,0.037914038,0.01794871834329237
3,5,0.03790474,0.01794611261620238
3,6,0.03791845,0.017949840905739367
3,7,0.0379107,0.0179463840913906
3,8,0.037915707,0.017947704451105384
3,9,0.03790933,0.017947866210188956
3,10,0.03790891,0.017949444002553494
3,11,0.037917078,0.017951664117578092
3,12,0.037912548,0.0179491021331718
4,1,0.037923694,0.01795384133494926
4,2,0.03790176,0.017945606020687066
4,3,0.037917376,0.017950346131897166
4,5,0.037901044,0.017946921781516356
4,6,0.037915528,0.017948850427919716
4,7,0.037914276,0.017949332959082076
4,8,0.037912726,0.01794495917779182
4,9,0.037910283,0.017943843682467597
4,10,0.037903488,0.01794695412052172
4,11,0.037908614,0.01794587344109122
4,12,0.037915528,0.01794913097099704
5,1,0.037908554,0.017946738488669456
5,2,0.037914872,0.017949369554335015
5,3,0.037911713,0.017948274696017674
5,4,0.037899613,0.017943766227879965
5,6,0.037910223,0.01794917325528489
5,7,0.03791368,0.017951137695026653
5,8,0.037903965,0.01795139315123495
5,9,0.03790623,0.017945987257287133
5,10,0.037906945,0.017947709168492976
5,11,0.037916303,0.017949149290586885
5,12,0.037911057,0.01794840176845669
6,1,0.037910283,0.017947233932902984
6,2,0.037906528,0.01794443079428165
6,3,0.037907064,0.017949110685683722
6,4,0.037906945,0.01794597284811128
6,5,0.037898183,0.017943176615962675
6,7,0.037915766,0.017948755926951332
6,8,0.037918985,0.01794990726802237
6,9,0.03791052,0.01794672458573654
6,10,0.037907302,0.017950289713203782
6,11,0.037907302,0.01794919047497623
6,12,0.0379045,0.017947929406641028
7,1,0.03790444,0.017948682416044748
7,2,0.037908494,0.0179494931887747
7,3,0.037908137,0.01794732754827677
7,4,0.037913024,0.017947866204468088
7,5,0.037908077,0.01794938418140779
7,6,0.037912488,0.017949109452236822
7,8,0.037902296,0.017947198340603987
7,9,0.037914097,0.01794667872518607
7,10,0.037906528,0.0179469733908989
7,11,0.037911594,0.01794940677213519
7,12,0.03790623,0.017951059317351192
8,1,0.03792411,0.017952137311076144
8,2,0.0379135,0.017949302477161755
8,3,0.037910104,0.01794738907724236
8,4,0.03791547,0.017949701659115802
8,5,0.037914395,0.01795202696447995
8,6,0.03790939,0.01794613376090426
8,7,0.037903428,0.017945633180792564
8,9,0.03791374,0.01795369238244915
8,10,0.037906587,0.017946190967709996
8,11,0.03790635,0.017953469190205684
8,12,0.037912846,0.017950591543236305
9,1,0.037913024,0.017951006885912446
9,2,0.03790164,0.01794824672212103
9,3,0.037908554,0.017950841872865886
9,4,0.03790754,0.01794826629416235
9,5,0.037906528,0.017948310412752577
9,6,0.037910283,0.017947126121445445
9,7,0.0379079,0.017945023234154145
9,8,0.037908196,0.017947515640929557
9,10,0.03790289,0.017944630581358867
9,11,0.03791058,0.017948470844994735
9,12,0.037912488,0.0179502245346157
10,1,0.037902474,0.017943652723781844
10,2,0.03792429,0.017951093208708024
10,3,0.037910223,0.017950287184718916
10,4,0.03790152,0.017948445500346688
10,5,0.037911177,0.01794930702971964
10,6,0.037911415,0.017950192669191067
10,7,0.0379014,0.017946339662094357
10,8,0.03791845,0.017948421753277266
10,9,0.037908018,0.01794699164497071
10,11,0.037914693,0.017946450417990922
10,12,0.037905037,0.017948275754548493
11,1,0.037906885,0.017948136415515514
11,2,0.03790641,0.017947388792988073
11,3,0.03790599,0.01794422425739517
11,4,0.037905216,0.017944993991216074
11,5,0.037907183,0.01794574612784139
11,6,0.037918746,0.017951413782252956
11,7,0.03790617,0.01794589456769291
11,8,0.0379014,0.01794786231538381
11,9,0.037910223,0.017944262735112737
11,10,0.03791076,0.017953363151512303
11,12,0.03790188,0.017946512734158593
12,1,0.037916064,0.017949312708053777
12,2,0.03790039,0.017945082871606677
12,3,0.037909865,0.017947798697579787
12,4,0.037915945,0.0179492554105376
12,5,0.037903965,0.017947421771378647
12,6,0.03791064,0.01794771284175367
12,7,0.03790599,0.017947131329109856
12,8,0.03790468,0.017943827844706384
12,9,0.037918746,0.017953482317293656
12,10,0.03791964,0.01795121891591256
12,11,0.037904084,0.017944820331401545
