target_id,task_id
1,22
2,3
3,2
4,18
5,7
6,2
7,27
8,17
9,26
10,26
11,19
12,18
13,18
14,27
15,27
16,3
17,2
18,3
19,22
20,15
21,19
22,2
23,15
24,22
25,26
26,22
27,14
28,2
